PK,SK,address,created_at,delivery_company,description,email,email_preferences,GSI1_PK,GSI1_SK,GSI2_PK,GSI2_SK,image_url,memo_for_shop,memo_for_users,messages,name,notification_emails,owner_id,password_hash,phone,pin,preferredDate,preferredTime,price,product_id,shop_id,status,tracking_number,ts_activated_at,ts_banned_at,ts_completed_at,ts_created_at,ts_expired_at,ts_linked_at,ts_shipped_at,ts_submitted_at,ts_updated_at,valid_days,zipCode
QR#cea1fb47-8a41-4e54-92b0-42e6a90b3cb3,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#cea1fb47-8a41-4e54-92b0-42e6a90b3cb3,METADATA,,,,,,,QR#USED,2026/2/25 9:45,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 16:21,,,,,,,,$2b$10$RiHvxteN6vMfuIF/bh5KbeJs3IWQCjcsDJXXpTEiD2i4vOj36vGlO,,43493885,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,USED,,2026/2/25 16:21,,,2026/2/25 9:45,2026/8/24 16:21,2026/2/25 16:21,,2026/2/25 16:26,2026/2/25 16:26,,
QR#cea1fb47-8a41-4e54-92b0-42e6a90b3cb3,ORDER,èZèä,,,,yudai.ito.9124@gmail.com,,,,,,,,,,éÛéÊÇËëæòY,,,,000-0000-0000,,,,,,,,,,,,,,,,2026/2/25 16:26,2026/2/25 16:26,,000-0000
QR#ad9b9c45-f0b2-424a-8570-f4791b9ad440,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""},""sabanomisonidaisuki2201@yahoo.co.jp"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""3256ca9f-1822-47b8-a176-0e8fd82164d8""},""message"":{""S"":""Ç«Ç§Çº""},""ts_created_at"":{""S"":""2026-02-24T01:22:51.795Z""},""username"":{""S"":""ëóÇËéÂÅ@â‘éq""}}},{""M"":{""id"":{""S"":""7c9ddd77-6228-48e8-a636-364aaa227d29""},""message"":{""S"":""Ç†ÇËÇ™Ç∆Ç§ÅI""},""ts_created_at"":{""S"":""2026-02-24T01:23:12.353Z""},""username"":{""S"":""éÛéÊëæòY""}}}]",,"[""saba38322201@gmail.com"",""sabanomisonidaisuki2201@yahoo.co.jp""]",,,,,,,,,,,,,,,,,,,,,,
QR#ad9b9c45-f0b2-424a-8570-f4791b9ad440,METADATA,,,,,,,QR#USED,2026/2/24 10:15,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 10:16,,Teian,Tesutodesu,,,,,$2b$10$TKVtR1WJtwSv4N90lcLeX..x2QPO7mxuv/dSmeDmcYrOY3xURusNW,,60842375,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,USED,,2026/2/24 10:16,,,2026/2/24 10:15,2026/8/23 10:16,2026/2/24 10:16,,2026/2/24 10:21,2026/2/24 10:21,,
QR#ad9b9c45-f0b2-424a-8570-f4791b9ad440,ORDER,èHìcésÇÃÇ«Ç±Ç©,,,,saba38322201@gmail.com,,,,,,,,,,Ç§ÇØÇ∆ÇËÅ@ÇΩÇÎÇ§,,,,00000000000,,,,,,,,,,,,,,,,2026/2/24 10:21,2026/2/24 10:21,,000-0000
QR#426ec12c-b9d7-4ead-9bdd-37b36c33d8b8,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,96255816,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#477db615-9c65-4ce9-bdf5-48fe796f3730,CHAT,,,,,,"{""ito_y@s.akita-u.ac.jp"":{""S"":""ja""},""sabanomisonidaisuki2201@yahoo.co.jp"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""46fdc620-19b1-4082-b7e0-44f56c268bd6""},""message"":{""S"":""1234""},""ts_created_at"":{""S"":""2026-02-16T23:43:07.226Z""},""username"":{""S"":""123""}}},{""M"":{""id"":{""S"":""d42a4a08-8ce9-491c-9694-74c4ca7ee7ef""},""message"":{""S"":""aaaaaaaaaffffffffffdddddddddddddd""},""ts_created_at"":{""S"":""2026-02-16T23:43:18.805Z""},""username"":{""S"":""123""}}},{""M"":{""id"":{""S"":""e637e62d-471e-4722-aaeb-1a483022ed85""},""message"":{""S"":""nuaaaaaaaaaaaaaaaaaaaa""},""ts_created_at"":{""S"":""2026-02-16T23:43:26.064Z""},""username"":{""S"":""123""}}},{""M"":{""id"":{""S"":""4116e684-b37c-48b3-a1d5-942f5dcb79b1""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-16T23:45:34.662Z""},""username"":{""S"":""System""}}}]",,"[""ito_y@s.akita-u.ac.jp"",""sabanomisonidaisuki2201@yahoo.co.jp""]",,,,,,,,,,,,,,,,,,,,,,
QR#477db615-9c65-4ce9-bdf5-48fe796f3730,METADATA,,,,,,,QR#COMPLETED,2026/2/17 8:40,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/17 8:40,,test,test,,,,,$2b$10$rrCW9jZfSXf14/qnyjGfreM2GtpXtfd8ngyo3ELbRwcuUw1dNY6PW,,20279195,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,COMPLETED,,2026/2/17 8:40,,2026/2/17 8:45,2026/2/17 8:40,2026/8/16 8:40,2026/2/17 8:40,2026/2/17 8:44,2026/2/17 8:41,2026/2/17 8:45,,
QR#477db615-9c65-4ce9-bdf5-48fe796f3730,ORDER,jusho,,ëÂòaÇ»â^óA,,ito_y@s.akita-u.ac.jp,,,,,,,,,,aa,,,,bango,,,,,,,,í«ê’î‘çÜÇæÇÊ,,,,,,,2026/2/17 8:44,2026/2/17 8:41,2026/2/17 8:44,,123-4567
QR#b716d4dc-1856-4b5b-9c5d-528fc767f708,METADATA,,,,,,,QR#BANNED,2026/2/10 9:50,,,,,,,,,,,,38562303,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/10 9:50,,,,,2026/2/24 10:14,,
QR#be99d1ea-de90-46f5-938d-2b6c064d374e,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,45708041,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#d9f5e26c-99fb-4d65-a7c1-377a7d650407,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,47396275,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
QR#c68cfcca-a400-4c3c-b6cf-f4ecbdc0c31b,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,42609577,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#ebb0ff82-b443-4b13-851f-909e6f74b403,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 10:13,,,,,,,,,,,,24911487,,,,,,UNASSIGNED,,,,,2026/2/24 10:13,,,,,2026/2/24 10:13,,
QR#7364afe2-b2c7-4247-a149-5eda0f08fc34,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""},""sabanomisonidaisuki2201@yahoo.co.jp"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""123109e4-8286-4194-8bbf-05e2a740132a""},""message"":{""S"":""Ç«Ç§Çº?""},""ts_created_at"":{""S"":""2026-02-24T03:23:04.210Z""},""username"":{""S"":""ëóÇËéÂ""}}},{""M"":{""id"":{""S"":""2a408438-c0a9-4920-847e-7a73fe3a4e63""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-24T03:26:27.206Z""},""username"":{""S"":""System""}}}]",,"[""saba38322201@gmail.com"",""sabanomisonidaisuki2201@yahoo.co.jp""]",,,,,,,,,,,,,,,,,,,,,,
QR#7364afe2-b2c7-4247-a149-5eda0f08fc34,METADATA,,,,,,,QR#COMPLETED,2026/2/24 12:11,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 12:17,,Teiantest,Message,,,,,$2b$10$vZkmHw7r6rEuL/7SBCW1mOzEPxEU6e8JB006nAIpp8SAXJboycBJm,,11206209,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,COMPLETED,,2026/2/24 12:17,,2026/2/24 12:26,2026/2/24 12:11,2026/8/23 12:17,2026/2/24 12:17,2026/2/24 12:24,2026/2/24 12:21,2026/2/24 12:26,,
QR#7364afe2-b2c7-4247-a149-5eda0f08fc34,ORDER,Ç†Ç´ÇΩÇµÇÃÇ«Ç±Ç©,,Ç‚Ç‹Ç∆,,saba38322201@gmail.com,,,,,,,,,,Ç§ÇØÇ∆ÇËÇΩÇÎÇ§,,,,0000000000,,,,,,,,í«ê’î‘çÜ,,,,,,,2026/2/24 12:24,2026/2/24 12:21,2026/2/24 12:24,,0000000
QR#64b325a5-8239-464d-9180-168747b2be53,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,22290175,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#a32bfb8f-613e-4a43-a662-0a2d922f07b3,METADATA,,,,,,,QR#ACTIVE,2026/2/9 14:00,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/20 11:09,,â™˙±êÊê∂,,,,,,,,79867637,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/20 11:09,,,2026/2/9 14:00,2026/8/19 11:09,2026/2/20 11:09,,,2026/2/20 11:09,,
QR#3a2f68a9-ef9d-4e3c-a8f7-026078d5a7a2,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,17125566,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#6bf7a712-4d9e-4243-89cf-4cbbdf2ab152,CHAT,,,,,,"{""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,,,"[""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#6bf7a712-4d9e-4243-89cf-4cbbdf2ab152,METADATA,,,,,,,QR#SHIPPED,2026/2/25 9:45,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/2/25 12:36,,,,,,,,$2b$10$ywK8r4sY0iQZaoHK5ET5zuAVMu9cywDpH8HjlGXPAoa/9M/k0s.aS,,96906081,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,SHIPPED,,2026/2/25 12:36,,,2026/2/25 9:45,2026/8/24 12:36,2026/2/25 12:36,2026/2/25 16:51,2026/2/25 12:37,2026/2/25 12:37,,
QR#6bf7a712-4d9e-4243-89cf-4cbbdf2ab152,ORDER,èZèä,,1,,yudai.ito.9124@gmail.com,,,,,,,,,,a,,,,ìdòbî‘çÜ,,2026/2/26,16-18éû,,,,,1,,,,,,,2026/2/25 16:51,2026/2/25 12:37,2026/2/25 16:51,,00000000
QR#dfec36dc-1124-4159-9fec-e38ebcd900d1,METADATA,,,,,,,QR#EXPIRED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:55,,,,,,,,,,20819302,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,EXPIRED,,2026/2/9 12:55,,,2026/2/9 12:34,2026/2/10 12:55,2026/2/9 12:55,,,2026/2/10 17:37,,
QR#68d63326-6f13-4f3b-a20d-4cc8f97897ee,CHAT,,,,,,"{""saba38322201@gmail.com"":{""S"":""ja""},""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""2db87cb8-f4ba-4103-9649-3a89345e1735""},""message"":{""S"":""aaaaaa""},""ts_created_at"":{""S"":""2026-02-16T07:42:05.225Z""},""username"":{""S"":""aaa""}}}]",,"[""saba38322201@gmail.com"",""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#68d63326-6f13-4f3b-a20d-4cc8f97897ee,METADATA,,,,,,,QR#USED,2026/2/10 9:50,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/16 16:39,,,ÇƒÇ∑Ç∆,,,,,,,37046602,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,USED,,2026/2/16 16:39,,,2026/2/10 9:50,2026/8/15 16:39,2026/2/16 16:39,,2026/2/16 16:42,2026/2/16 16:42,,
QR#68d63326-6f13-4f3b-a20d-4cc8f97897ee,ORDER,èZèä,,,,yudai.ito.9124@gmail.com,,,,,,,,,,ñºëO,,,,ìdòbî‘çÜÇæÇÊ,,,,,,,,,,,,,,,,2026/2/16 16:42,2026/2/16 16:42,,000-0000
QR#054b6e3a-060e-4b3a-837f-bd8ab6b04ee4,METADATA,,,,,,,QR#BANNED,2026/2/24 9:11,,,,,,,,,,,,52796664,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/24 9:11,,,,,2026/2/24 10:14,,
QR#f5658798-463f-485e-8bb8-aab5af3a8d3d,METADATA,,,,,,,QR#ACTIVE,2026/3/1 23:50,SHOP#b4c63849-b497-472f-9f33-67e915158201,2026/3/1 23:51,,memoo,teestt,,,,,,,35681597,,,,52d65cb1-a885-4b9d-a8d5-8a2914a91d57,b4c63849-b497-472f-9f33-67e915158201,ACTIVE,,2026/3/1 23:51,,,2026/3/1 23:50,2026/8/28 23:51,2026/3/1 23:51,,,2026/3/1 23:51,,
QR#00b15149-566b-4057-b1ed-1133d37f7fb2,METADATA,,,,,,,QR#ACTIVE,2026/2/24 10:13,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 15:49,,äwí∑,,,,,,,,96170044,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/24 15:49,,,2026/2/24 10:13,2026/8/23 15:49,2026/2/24 15:49,,,2026/2/24 15:49,,
QR#c9ce90ee-fd2d-481f-9190-728fa684b799,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 9:45,,,,,,,,,,,,44149867,,,,,,UNASSIGNED,,,,,2026/2/25 9:45,,,,,2026/2/25 9:45,,
QR#d8e2657d-8c1d-4ba6-97ee-c1183cd13804,CHAT,,,,,,"{""a@a.a"":{""S"":""ja""},""saba38322201@gmail.com"":{""S"":""ja""},""yudai.ito.9124@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""31df8e01-f611-44f6-b97f-333eb8587ced""},""message"":{""S"":""message for you !""},""ts_created_at"":{""S"":""2026-02-07T04:08:39.239Z""},""username"":{""S"":""yudai""}}},{""M"":{""id"":{""S"":""9165ce57-518b-4746-b23d-b590cc28b722""},""message"":{""S"":""aaaaaaaaaaaaaaaaaaaaaan""},""ts_created_at"":{""S"":""2026-02-07T04:10:24.299Z""},""username"":{""S"":""yudai""}}}]",,"[""a@a.a"",""saba38322201@gmail.com"",""yudai.ito.9124@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#d8e2657d-8c1d-4ba6-97ee-c1183cd13804,ORDER,juusho,,,,saba38322201@gmail.com,,,,,,,,,,namae,,,,denwabangou,,,,,,,,,,,,,,,,2026/2/7 13:08,2026/2/7 13:08,,bangou
QR#ffb49521-184c-480d-8142-eb5aad7aa4ac,METADATA,,,,,,,QR#BANNED,2026/2/24 8:50,,,,,,,,,,,,88054004,,,,,,BANNED,,,2026/2/24 10:14,,2026/2/24 8:50,,,,,2026/2/24 10:14,,
QR#991aeef9-c108-4519-a956-de1e64014845,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,74474722,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#59256264-9386-4eb8-971d-262ff79cfab3,METADATA,,,,,,,QR#UNASSIGNED,2026/2/25 18:03,,,,,,,,,,,,41073430,,,,,,UNASSIGNED,,,,,2026/2/25 18:03,,,,,2026/2/25 18:03,,
QR#3706a1a8-4001-484d-a82a-826d3986d3ad,METADATA,,,,,,,QR#ACTIVE,2026/2/24 10:13,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/24 15:50,,äwí∑,,,,,,,,58014437,,,,f7061789-16d0-45a4-98fa-8198b54e5b08,e092f365-53f4-4747-a63f-723c3ac1d84f,ACTIVE,,2026/2/24 15:50,,,2026/2/24 10:13,2026/8/23 15:50,2026/2/24 15:50,,,2026/2/24 15:50,,
QR#6673a090-9583-4663-b347-4553f74f7dff,METADATA,,,,,,,QR#BANNED,2026/2/9 11:39,,,,,,,,,,,,88739498,,,,,,BANNED,,,2026/2/9 11:51,,2026/2/9 11:39,,,,,2026/2/9 11:51,,
QR#1655f1b1-1199-499e-b131-e028275ba174,METADATA,,,,,,,QR#UNASSIGNED,2026/2/24 15:15,,,,,,,,,,,,64694137,,,,,,UNASSIGNED,,,,,2026/2/24 15:15,,,,,2026/2/24 15:15,,
QR#429834c8-0773-49d3-88cc-a52ebb21692b,CHAT,,,,,,"{""a@a"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""3c8fface-1dfc-4a5b-91eb-100f32a4b114""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-09T04:03:56.884Z""},""username"":{""S"":""System""}}}]",,"[""a@a""]",,,,,,,,,,,,,,,,,,,,,,
QR#429834c8-0773-49d3-88cc-a52ebb21692b,METADATA,,,,,,,QR#COMPLETED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:53,,a,a,,,,,,,76647374,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,COMPLETED,,2026/2/9 12:53,,2026/2/9 13:03,2026/2/9 12:34,2026/2/10 12:53,2026/2/9 12:53,2026/2/9 13:03,2026/2/9 13:02,2026/2/9 13:03,,
QR#429834c8-0773-49d3-88cc-a52ebb21692b,ORDER,aaa,,a,,a@a,,,,,,,,,,a,,,,111111,,,,,,,,a,,,,,,,2026/2/9 13:03,2026/2/9 13:02,2026/2/9 13:03,,aa
QR#a5be9b8a-a507-470b-be75-5f48d15bfa12,ORDER,address,,,,email@com,,,,,,,,,,name,,,,tel,,,,,,,,,,,,,,,,2026/2/4 17:58,,,postal
QR#3a11168e-707f-4ea1-a2f0-c0c2b75a4bb9,CHAT,,,,,,"{""autelm@gmail.com"":{""S"":""ja""}}",,,,,,,,"[{""M"":{""id"":{""S"":""8e87570b-4b41-4f31-a268-6bcc466996c7""},""message"":{""S"":""Ç«Ç§Çº""},""ts_created_at"":{""S"":""2026-02-09T04:04:43.151Z""},""username"":{""S"":""Ç‰""}}},{""M"":{""id"":{""S"":""e8c7d2e0-6fef-4769-b70f-490db9ee84e5""},""message"":{""S"":""Ç†ÇËÇ™Ç∆Ç§ÅB""},""ts_created_at"":{""S"":""2026-02-09T04:05:13.551Z""},""username"":{""S"":""DX""}}},{""M"":{""id"":{""S"":""bb437d06-182d-4607-bd45-217282ccd4b6""},""message"":{""S"":""DeliveryCompleted""},""ts_created_at"":{""S"":""2026-02-09T04:06:47.004Z""},""username"":{""S"":""System""}}}]",,"[""autelm@gmail.com""]",,,,,,,,,,,,,,,,,,,,,,
QR#3a11168e-707f-4ea1-a2f0-c0c2b75a4bb9,METADATA,,,,,,,QR#COMPLETED,2026/2/9 12:34,SHOP#e092f365-53f4-4747-a63f-723c3ac1d84f,2026/2/9 12:54,,,ÇﬂÇ¡ÇπÅ[Ç∂Ç≈Ç∑ÇÊÅ@Ç®Ç¢ÇµÇ¢ÇÊÇ™Ç≠ÇøÇÂÇ§ÇπÇÒÇ◊Ç¢Å@äøéö,,,,,,,55176810,,,,e9c0a184-bb95-479e-8af6-5bc51d9c68e1,e092f365-53f4-4747-a63f-723c3ac1d84f,COMPLETED,,2026/2/9 12:54,,2026/2/9 13:06,2026/2/9 12:34,2026/2/10 12:54,2026/2/9 12:54,2026/2/9 13:06,2026/2/9 13:05,2026/2/9 13:06,,
QR#3a11168e-707f-4ea1-a2f0-c0c2b75a4bb9,ORDER,èHìcés,,â^ëóâÔé–,,autelm@gmail.com,,,,,,,,,,Ç‹Ç›ÇﬁÇﬂÇ‡,,,,00011112222,,,,,,,,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,,,,,,,2026/2/9 13:06,2026/2/9 13:05,2026/2/9 13:06,,000-0000
QR#7a7e77ed-be86-4d1d-9d80-e186c219faed,CHAT,,,,,,,,,,,,,,"[{""M"":{""id"":{""S"":""fe91100c-02dc-4d11-abf8-7c7b761399e8""},""message"":{""S"":""ÉÅÉbÉZÅ[ÉW""},""ts_created_at"":{""S"":""2026-02-05T05:53:04.307Z""},""username"":{""S"":""ÉjÉbÉNÉlÅ[ÉÄ""}}}]",,,,,,,,,,,,,,,,,,,,,,,,
QR#7a7e77ed-be86-4d1d-9d80-e186c219faed,ORDER,èZèäÇæÇÊ1Å|ÇP,,â^ëóâÔé–,,saba38322201@gmail.com,,,,,,,,,,à…ì°óIëÂ,,,,00000000000000000,,,,,,,,í«ê’î‘çÜ,,,,,,,2026/2/5 15:16,2026/2/5 14:53,2026/2/5 15:16,,000-0000
QR#85076bbc-bea1-4c8e-8acc-a8d25684908e,METADATA,,,,,,,QR#BANNED,2026/2/9 11:51,,,,,,,,,,,,71854293,,,,,,BANNED,,,2026/2/9 12:23,,2026/2/9 11:51,,,,,2026/2/9 12:23,,
